"uf";"nome_municipio";"cod_tse";"cod_ibge";"abstencoes";"p_abstencoes";"nulos";"p_nulos";"brancos";"p_brancos"
"SP";"IRAPURU";"65331";"3521606";"1297";"25,80";"255";"6,83";"229";"6,14"
"SP";"IRAPUÃ";"65315";"3521507";"1509";"26,52";"279";"6,67";"268";"6,41"
"SP";"ITABERÁ";"65358";"3521705";"3175";"22,18";"631";"5,67";"730";"6,55"
"SP";"ITAJOBI";"65390";"3521903";"2827";"22,25";"659";"6,67";"450";"4,56"
"SP";"ITAJU";"65412";"3522000";"810";"25,52";"160";"6,77";"149";"6,30"
"SP";"ITANHAÉM";"65439";"3522109";"23762";"28,04";"4524";"7,42";"3654";"5,99"
"SP";"ITAOCA";"61603";"3522158";"874";"28,29";"138";"6,23";"90";"4,06"
"SP";"ITAPECERICA DA SERRA";"65455";"3522208";"25847";"20,90";"8300";"8,48";"7380";"7,55"
"SP";"ITAPETININGA";"65471";"3522307";"26537";"22,52";"6785";"7,43";"6705";"7,35"
"SP";"ITAPEVA";"65498";"3522406";"17354";"24,12";"3442";"6,31";"4067";"7,45"
"SP";"ITAPEVI";"65510";"3522505";"33451";"20,42";"9587";"7,35";"10313";"7,91"
"SP";"ITAPIRA";"65536";"3522604";"13084";"22,79";"4421";"9,97";"3981";"8,98"
"SP";"ITAPIRAPUÃ PAULISTA";"61948";"3522653";"734";"22,08";"149";"5,75";"168";"6,48"
"SP";"ITAPORANGA";"65579";"3522802";"3110";"26,77";"543";"6,38";"492";"5,78"
"SP";"ITAPURA";"65617";"3523008";"1150";"30,44";"168";"6,39";"156";"5,94"
"SP";"ITAPUÍ";"65595";"3522901";"2316";"22,74";"546";"6,94";"567";"7,20"
"SP";"ITAQUAQUECETUBA";"65633";"3523107";"51921";"20,67";"19267";"9,67";"17386";"8,72"
"SP";"ITARARÉ";"65650";"3523206";"10053";"27,57";"1622";"6,14";"1916";"7,25"
"SP";"ITARIRI";"65676";"3523305";"2794";"28,62";"494";"7,09";"296";"4,24"
"SP";"ITATIBA";"65692";"3523404";"17641";"20,61";"5173";"7,61";"4850";"7,14"
"SP";"ITATINGA";"65714";"3523503";"2903";"20,93";"961";"8,76";"935";"8,53"
"SP";"ITAÍ";"65374";"3521804";"4155";"23,73";"888";"6,65";"948";"7,10"
"SP";"ITIRAPINA";"65730";"3523602";"2256";"22,21";"569";"7,20";"572";"7,24"
"SP";"ITIRAPUÃ";"65757";"3523701";"1258";"24,72";"231";"6,03";"199";"5,20"
"SP";"ITOBI";"65773";"3523800";"1373";"21,82";"362";"7,36";"426";"8,66"
"SP";"ITU";"65790";"3523909";"27912";"21,99";"8470";"8,55";"6522";"6,59"
"SP";"ITUPEVA";"65811";"3524006";"9297";"20,61";"2881";"8,04";"2552";"7,13"
"SP";"ITUVERAVA";"65838";"3524105";"8226";"27,45";"1287";"5,92";"1421";"6,53"
"SP";"ITÁPOLIS";"65552";"3522703";"8198";"26,15";"1828";"7,89";"1855";"8,02"
"SP";"JABORANDI";"65854";"3524204";"1022";"19,57";"281";"6,69";"225";"5,35"
"SP";"JABOTICABAL";"65870";"3524303";"14373";"26,12";"2400";"5,90";"2330";"5,74"
"SP";"JACAREÍ";"65897";"3524402";"37932";"21,46";"9819";"7,07";"7465";"5,38"
