"uf";"nome_municipio";"cod_tse";"cod_ibge";"abstencoes";"p_abstencoes";"nulos";"p_nulos";"brancos";"p_brancos"
"SP";"PIRAPORA DO BOM JESUS";"68837";"3539103";"2535";"19,11";"255";"2,38";"186";"1,73"
"SP";"PIRAPOZINHO";"68853";"3539202";"5264";"24,87";"395";"2,48";"279";"1,76"
"SP";"PIRASSUNUNGA";"68870";"3539301";"14079";"23,81";"1464";"3,25";"1137";"2,52"
"SP";"PIRATININGA";"68896";"3539400";"1823";"19,00";"199";"2,56";"176";"2,26"
"SP";"PITANGUEIRAS";"68918";"3539509";"6526";"24,33";"694";"3,42";"483";"2,38"
"SP";"PLANALTO";"68934";"3539608";"992";"23,94";"90";"2,86";"44";"1,39"
"SP";"PLATINA";"68950";"3539707";"601";"22,16";"47";"2,23";"45";"2,13"
"SP";"POLONI";"68993";"3539905";"1065";"23,45";"96";"2,76";"70";"2,01"
"SP";"POMPÉIA";"69019";"3540002";"3682";"21,87";"354";"2,69";"219";"1,67"
"SP";"PONGAÍ";"69035";"3540101";"679";"22,14";"48";"2,01";"23";"0,96"
"SP";"PONTAL";"69051";"3540200";"6302";"21,02";"1055";"4,46";"674";"2,84"
"SP";"PONTALINDA";"61808";"3540259";"814";"24,75";"58";"2,34";"45";"1,82"
"SP";"PONTES GESTAL";"69078";"3540309";"587";"24,83";"42";"2,36";"25";"1,41"
"SP";"POPULINA";"69094";"3540408";"850";"22,53";"81";"2,77";"43";"1,47"
"SP";"PORANGABA";"69116";"3540507";"1879";"25,32";"189";"3,41";"129";"2,33"
"SP";"PORTO FELIZ";"69132";"3540606";"9920";"23,30";"850";"2,60";"871";"2,67"
"SP";"PORTO FERREIRA";"69159";"3540705";"10056";"23,68";"1376";"4,24";"866";"2,68"
"SP";"POTIM";"61565";"3540754";"2746";"20,99";"210";"2,03";"204";"1,98"
"SP";"POTIRENDABA";"69175";"3540804";"2768";"20,24";"338";"3,10";"221";"2,03"
"SP";"POÁ";"68977";"3539806";"19311";"20,37";"2624";"3,48";"1685";"2,23"
"SP";"PRACINHA";"62120";"3540853";"252";"18,61";"19";"1,72";"32";"2,91"
"SP";"PRADÓPOLIS";"69191";"3540903";"2870";"20,67";"415";"3,77";"226";"2,05"
"SP";"PRAIA GRANDE";"69213";"3541000";"59360";"23,80";"5583";"2,94";"3497";"1,84"
"SP";"PRATÂNIA";"62146";"3541059";"1230";"25,11";"104";"2,83";"115";"3,14"
"SP";"PRESIDENTE ALVES";"69230";"3541109";"782";"22,66";"55";"2,06";"43";"1,61"
"SP";"PRESIDENTE BERNARDES";"69256";"3541208";"3041";"27,14";"147";"1,80";"149";"1,83"
"SP";"PRESIDENTE EPITÁCIO";"69272";"3541307";"9280";"28,99";"628";"2,76";"442";"1,95"
"SP";"PRESIDENTE PRUDENTE";"69299";"3541406";"46151";"25,46";"3052";"2,26";"2365";"1,75"
"SP";"PRESIDENTE VENCESLAU";"69310";"3541505";"7579";"26,21";"584";"2,74";"360";"1,68"
"SP";"PROMISSÃO";"69337";"3541604";"7911";"27,82";"548";"2,67";"431";"2,10"
"SP";"QUADRA";"62162";"3541653";"981";"25,78";"66";"2,34";"60";"2,12"
"SP";"QUATÁ";"69353";"3541703";"2128";"21,02";"207";"2,59";"159";"1,99"
"SP";"QUEIROZ";"69370";"3541802";"862";"26,22";"61";"2,51";"50";"2,07"
"SP";"QUELUZ";"69396";"3541901";"1477";"20,59";"142";"2,49";"81";"1,43"
"SP";"QUINTANA";"69418";"3542008";"1195";"21,85";"126";"2,95";"74";"1,73"
"SP";"RAFARD";"69434";"3542107";"1430";"19,29";"164";"2,74";"117";"1,96"
"SP";"RANCHARIA";"69450";"3542206";"6375";"26,04";"427";"2,36";"373";"2,06"
"SP";"REDENÇÃO DA SERRA";"69477";"3542305";"1092";"25,78";"70";"2,23";"67";"2,13"
"SP";"REGENTE FEIJÓ";"69493";"3542404";"2816";"18,48";"311";"2,50";"208";"1,68"
"SP";"REGINÓPOLIS";"69515";"3542503";"1161";"23,33";"104";"2,73";"60";"1,57"
"SP";"REGISTRO";"69531";"3542602";"12940";"26,82";"851";"2,41";"656";"1,86"
"SP";"RESTINGA";"69558";"3542701";"1561";"23,17";"114";"2,20";"80";"1,55"
